date,all_workers,hourly_workers,non_hourly_workers,less_than_high_school,high_school,some_college,college,construction,finance,manufacturing
11/1/1999,10.306227801,14.0005081345,5.6149041107,14.9473629152,12.3694693158,10.2985100672,6.8421420861,12.6958028257,7.032167215,10.3542740758
12/1/1999,10.3545782426,14.0444245184,5.7196384731,15.1234306968,12.6974867808,10.0630567481,6.9100690045,13.4138452459,7.2888142911,10.8040022195
01/1/2000,10.6051763411,14.4228737233,5.7826149442,16.1966508913,12.7245213192,10.1555683287,7.3657279162,14.1030473058,7.2459231966,10.800506387
02/1/2000,10.68094088,14.5376205824,5.8189967029,16.4022069133,12.7976183358,10.4061625872,7.2704161312,14.1659257559,7.7962881038,10.6740356342
03/1/2000,10.7673052869,14.6385134451,5.9362504164,16.2648875962,12.8696860772,10.4693458515,7.4697347865,14.6055835308,8.3743255527,10.6280329633
04/1/2000,10.6187303164,14.2974505526,5.9998226058,16.5815892068,12.7613882657,10.307674718,7.1443143871,13.9467921578,8.8583963107,10.3358071008
05/1/2000,10.7634566502,14.5667859311,5.9603184543,17.2191712708,12.5985595334,10.4377603078,7.4573595071,13.5713238107,9.4828722988,10.7313270668
06/1/2000,11.1601653749,15.0240350753,6.3386791307,18.0667541102,13.3028943226,11.1269743014,7.2627639961,14.5819435771,9.4535926558,11.2199410476
07/1/2000,10.9918080704,14.8801504165,6.1341143088,17.8372454931,13.2776334394,10.7327327627,7.1848928261,13.7899189778,9.4257796167,10.7816254286
08/1/2000,11.2094225765,15.1189488927,6.2947706517,17.0870037786,13.5387802427,11.0990844664,7.5376335777,15.4109734701,9.1814370286,11.0618386448
09/1/2000,11.1328308471,15.1390243655,6.1885362006,17.155323575,13.4656950024,11.1722688436,7.2985137346,16.105574374,9.3108306426,10.9598429394
10/1/2000,11.2345276532,15.1672406288,6.3361496371,17.571527192,13.5058208857,10.9482049611,7.681345964,16.4966452473,9.4997624823,11.0283226526
